transaction_id,sale_date,product_id,region_id,quantity,unit_price,total_amount,customer_id,created_at,product_name,category,region_name
TXN001,2024-01-01,,,2,75000.00,150000.00,C001,2026-04-26T07:24:16.5100000,Laptop Pro X,Electronics,South
TXN002,2024-01-01,,,5,1200.00,6000.00,C002,2026-04-26T07:24:16.5100000,Cotton Kurta,Apparel,North
TXN003,2024-01-02,,,10,450.00,4500.00,C003,2026-04-26T07:24:16.5100000,Rice 5kg,Groceries,East
TXN004,2024-01-02,,,1,28000.00,28000.00,C004,2026-04-26T07:24:16.5100000,Smartphone Y,Electronics,West
TXN005,2024-01-03,,,3,2500.00,7500.00,C005,2026-04-26T07:24:16.5100000,Jeans Classic,Apparel,South
TXN006,2024-01-03,,,20,180.00,3600.00,C001,2026-04-26T07:24:16.5100000,Cooking Oil 1L,Groceries,North
TXN007,2024-01-04,,,4,3500.00,14000.00,C006,2026-04-26T07:24:16.5100000,Headphones Z,Electronics,East
TXN008,2024-01-04,,,1,8000.00,8000.00,C007,2026-04-26T07:24:16.5100000,Saree Silk,Apparel,West
TXN009,2024-01-05,,,1,75000.00,75000.00,C008,2026-04-26T07:24:16.5100000,Laptop Pro X,Electronics,North
TXN010,2024-01-05,,,15,450.00,6750.00,C009,2026-04-26T07:24:16.5100000,Rice 5kg,Groceries,South
TXN011,2024-02-01,,,3,28000.00,84000.00,C010,2026-04-26T07:24:16.5100000,Smartphone Y,Electronics,South
TXN012,2024-02-01,,,8,1200.00,9600.00,C002,2026-04-26T07:24:16.5100000,Cotton Kurta,Apparel,East
TXN013,2024-02-02,,,12,600.00,7200.00,C011,2026-04-26T07:24:16.5100000,Wheat 10kg,Groceries,North
TXN014,2024-02-03,,,1,75000.00,75000.00,C012,2026-04-26T07:24:16.5100000,Laptop Pro X,Electronics,West
TXN015,2024-02-03,,,2,9500.00,19000.00,C013,2026-04-26T07:24:16.5100000,Silk Saree,Apparel,South
TXN016,2024-02-04,,,6,3500.00,21000.00,C014,2026-04-26T07:24:16.5100000,Headphones Z,Electronics,North
TXN017,2024-02-05,,,25,180.00,4500.00,C003,2026-04-26T07:24:16.5100000,Cooking Oil 1L,Groceries,East
TXN018,2024-02-05,,,4,2500.00,10000.00,C015,2026-04-26T07:24:16.5100000,Jeans Classic,Apparel,West
TXN019,2024-03-01,,,2,75000.00,150000.00,C016,2026-04-26T07:24:16.5100000,Laptop Pro X,Electronics,East
TXN020,2024-03-01,,,20,450.00,9000.00,C017,2026-04-26T07:24:16.5100000,Rice 5kg,Groceries,South
TXN021,2024-03-02,,,2,28000.00,56000.00,C018,2026-04-26T07:24:16.5100000,Smartphone Y,Electronics,North
TXN022,2024-03-03,,,10,1200.00,12000.00,C019,2026-04-26T07:24:16.5100000,Cotton Kurta,Apparel,West
TXN023,2024-03-04,,,8,3500.00,28000.00,C020,2026-04-26T07:24:16.5100000,Headphones Z,Electronics,South
TXN024,2024-03-04,,,18,600.00,10800.00,C021,2026-04-26T07:24:16.5100000,Wheat 10kg,Groceries,East
TXN025,2024-03-05,,,3,9500.00,28500.00,C022,2026-04-26T07:24:16.5100000,Silk Saree,Apparel,North
TXN026,2024-03-05,,,5,2500.00,12500.00,C023,2026-04-26T07:24:16.5100000,Jeans Classic,Apparel,West
